India,26/01,"Republic Day, adoption of the Constitution of India in 1950"
India,15/08,Independence from the British Empire in 1947
India,02/10,"Gandhi Jayanti, birth anniversary of Mahatma Gandhi (Father of the Nation) in 1869"
Indonesia,17/08,Proclamation of Independence day (Hari Proklamasi Kemerdekaan R.I.) from Japan and the Netherlands in 1945
Iran,11/02,Victory of the Islamic Revolution in 1979
Iran,01/04,Iranian Islamic Republic Day
Iraq,03/10,Independence from the United Kingdom in 1932
Ireland,17/03,"Saint Patrick's Day, the patron saint of Ireland"
Isle of Man (British Islands),05/07,"Tynwald Day, annual meeting of the Tynwald (parliament)"
Italy,02/06,"Festa della Repubblica, Italy is made a republic in 1946"
Jamaica,06/08,Independence from the United Kingdom in 1962
Japan,11/02,"National Foundation Day, Jimmu, the first emperor, is crowned in 660 BC"
Jersey (British Islands),09/05,"Liberation Day, the end of the German occupation of the Channel Islands in 1945"
Jordan,25/05,Independence from the United Kingdom in 1946
Kazakhstan,16/12,"Kazakhstan Independence Day, independence from the Soviet Union in 1991"
Kenya,12/12,"Independence from the United Kingdom in 1963; (Jamhuri Day), made a republic in 1964"
Kiribati,12/07,Independence from the United Kingdom in 1979
Kosovo (Disputed),17/02,Unilateral declaration of independence from Serbia in 2008
Kurdistan (Iraq),21/03,"Nowruz, Persian New Year, celebrated on the spring equinox"
Kuwait,25/02,"National Day, anniversary of the 1950 coronation of Abdullah Al-Salim Al-Sabah, who won Kuwait's independence from the British Empire eleven years later"
Kyrgyzstan,31/08,"Independence Day, declaration of independence from the Soviet Union in 1991"
Laos,02/12,"National Day, declaration of the People's Republic in 1975"
Latvia,18/11,"Proclamation Day of the Republic of Latvia, independence from the Russian Empire in 1918"
Lebanon,22/11,Lebanese Independence Day from France in 1943
Lesotho,04/10,Independence from the United Kingdom in 1966
Liberia,26/07,Proclamation of the Republic: independence from the United States in 1847
Libya,24/12,Anniversary of Libyan independence in 1951
Liechtenstein,15/08,Feast of the Assumption and birth of Prince Franz Joseph II in 1906
Lithuania,16/02,"Lithuanian State Reestablishment Day, declaration of independence from the Russian and German Empires in 1918"
Luxembourg,23/06,Grand Duke's Official Birthday
Macau (China),01/10,National Day of the People's Republic of China (Proclamation of the People's Republic of China in 1949)
Macau (China),20/12,Transfer of sovereignty to the PRC in 1999
Madagascar,26/06,Independence from France in 1960
Madeira (Portugal),01/07,"Madeira Day, day of autonomy within Portugal in 1976"
Malawi,06/07,Independence from the United Kingdom in 1964; declaration of the Republic in 1966
Malaysia,31/08,"Hari Merdeka, independence from the United Kingdom (as Malaya) in 1957. Also known as Hari Kebangsaan (National Day) in Malay."
Malaysia,16/09,"Malaysia Day, formation of Malaysia by uniting Malaya, Sabah, Sarawak, and Singapore into a single country in 1963. Proposed to be the second national day after Hari Merdeka."
Maldives,26/07,Independence from the British Empire in 1965
Mali,22/09,Independence from the Mali Federation in 1960
Malta,31/03,"Freedom Day, withdrawal of the last British troops from Malta in 1979"
Malta,07/06,"Sette Giugno, bread riot of 1919 in which 4 Maltese men died"
Malta,08/09,"Victory Day, celebrating the victory of the Knights of St. John over the Ottoman Empire in the Great Siege of Malta in 1565, the end of the French occupation in 1800, and the surrender of Italy to the Allies in 1943"
Malta,21/09,"Independence Day, independence from the United Kingdom in 1964"
Malta,13/12,"Republic Day, adoption of the republican constitution of 1974"
Marshall Islands,01/05,"Constitution Day, adoption of the Compact of Free Association in 1979"
Martinique (France),22/05,Abolition of slavery day
Mauritania,28/11,Independence from France in 1960
Mauritius,12/03,Independence Day - Independence from the United Kingdom in 1968; formation of the Republic in 1992
Mayotte (France),27/04,Abolition of slavery day
Mexico,16/09,"Grito de Dolores, beginning of the War of Independence from Spain in 1810"
Micronesia,03/11,Independence from the US-administered UN Trusteeship in 1979
Moldova,27/08,"Independence Day, declaration of independence from the Soviet Union in 1991"
Monaco,19/11,Accession of Prince Albert II to the throne in 2005
Mongolia,26/11,"Republic Day, proclamation of the Mongolian People's Republic in 1924"
Mongolia,29/12,"Independence Day, this day commemorates the independence from China in 1911."
Montenegro,21/05,Independence from Serbia and Montenegro in 2006
Montenegro,13/07,recognised as independent at the Congress of Berlin in 1878
Morocco,18/11,Accession of Muhammad V to the throne in 1927
Mozambique,25/06,Independence from Portugal in 1975
Myanmar,04/01,Independence from the British Empire in 1948
Namibia,21/03,Independence from South Africa in 1990
Nauru,31/01,"Independence from the Australia, NZ, and UK-administered UN trusteeship 1968"
Nepal,19/09,"Constitution Day, commemorating the adoption of the Constitution in 2015"
Kingdom of the Netherlands,27/04,"King's Day, King Willem-Alexander's birthday in 1967"
Kingdom of the Netherlands,05/05,"Liberation Day, end of German occupation in 1945"
